2022	66.92
2021	64.30
2020	66.41
2019	67.27
2018	63.50
2017	58.91
2016	56.18
2015	54.44
2014	49.86
2013	44.56
2012	40.39
2011	34.75
2010	30.78
2009	30.79
2008	40.08
2007	39.19
2006	36.60
2005	33.50
2004	30.32
2003	28.00
2002	26.37
2001	26.44
2000	27.75
1999	29.44
1998	29.33
1997	28.51
1996	27.88
1995	26.66
1994	26.11
1993	25.60
1992	25.90
1991	26.26
1990	26.81
1989	26.02
1988	24.01
1987	22.66
1986	22.24
1985	21.45
1984	21.22
1983	20.77
1982	20.89
1981	20.93
1980	21.19
1979	21.86
1978	22.23
1977	22.32
1976	20.65
1975	19.68
1974	20.59
1973	21.71
1972	22.00
1971	22.17
1970	23.42
1969	24.88
1968	25.67
1967	25.56
1966	25.89
1965	25.39
1964	23.78
1963	21.90
1962	20.80
1961	19.98
1960	19.42
1959	18.47
1958	17.97
1957	18.71
1956	18.71
1955	18.16
1954	17.12
1953	16.00
1952	15.67
1951	15.79
1950	17.45
1949	14.34
1948	11.45
1947	10.65
1946	9.80
1945	10.76
1944	10.67
1943	10.40
1942	10.36
1941	13.60
1940	14.10
1939	13.14
1938	10.81
1937	16.49
1936	15.26
1935	10.11
1934	9.97
1933	9.89
1932	11.33
1931	16.67
1930	18.07
1929	16.74
1928	14.75
1927	13.21
1926	11.57
1925	9.95
1924	9.44
1923	9.09
1922	8.96
1921	7.89
1920	7.80
1919	8.32
1918	10.25
1917	14.95
1916	14.33
1915	12.39
1914	12.34
1913	14.25
1912	14.69
1911	15.43
1910	15.11
1909	13.07
1908	13.13
1907	14.92
1906	13.28
1905	11.56
1904	10.86
1903	12.84
1902	11.44
1901	11.89
1900	11.70
1899	7.89
1898	8.78
1897	8.02
1896	8.02
1895	8.34
1894	9.49
1893	10.54
1892	9.36
1891	8.68
1890	8.27
1889	8.37
1888	8.24
1887	8.96
1886	8.37
1885	8.71
1884	11.11
1883	10.61
1882	9.51
1881	9.33
1880	8.11
1879	6.12
1878	6.53
1877	5.93
1876	8.28
1875	8.14
1874	8.51
1873	8.04
1872	6.88
1871	6.10
